student,feedback_language,n_sessions,active_hours,active_days,questions,questions_per_hour,error_question_pct,hint_enough_pct,fix_pct,mean_edits_before_ask,median_help_latency_s,offers_taken_pct,fixed_unaided,fixed_unaided_per_hour,no_help_session_pct,error_gone_pct,median_visible_s,median_return_s,abandon_pct,copies,reopens,helpful_pct,solved_pct,confident_pct,large_pastes,left_vscode_per_hour,lines_added,failed_requests,cache_pct,pre_total,post_total,gain,tam_pu,tam_sn,tam_bi,tam_att,tam_au,PreQ1,PreQ2,PreQ3,PreQ4,PreQ5,PreQ6,PreQ7,PreQ8,PreQ9,PreQ10,PreQ11,PreQ12,PreQ13,PreQ14,PreQ15,PreQ16,PreQ17,PreQ18,PreQ19,PreQ20,PreQ21,PreQ22,PreQ23,PreQ24,PreQ25,PreQ26,PreQ27,PreQ28,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5,PostQ6,PostQ7,PostQ8,PostQ9,PostQ10,PostQ11,PostQ12,PostQ13,PostQ14,PostQ15,PostQ16,PostQ17,PostQ18,PostQ19,PostQ20,PostQ21,PostQ22,PostQ23,PostQ24,PostQ25,PostQ26,PostQ27,PostQ28,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19
S11,1,9,9.19,9,11,1.2,27.27,90.91,0,2.67,15,10.34,35,3.81,44.44,100,38.13,18.23,0,2,0,50,20,100,0,4.79,627,0,9.09,23,25,2,3.8,3.33,3.5,3.75,3.33,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,4,4,4,3,3,3,4,4,4,3,3,3,4,5,3,4,3,3
S12,2,21,18.03,19,33,1.83,30.3,57.58,3.03,0.9,25.54,20.41,41,2.27,33.33,90,46.58,15.22,3.03,2,1,62.5,70.59,100,0,4.94,1250,0,9.09,27,24,-3,4.2,4.67,3.75,3.75,4.67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,5,4,4,4,4,4,5,5,4,4,4,3,4,4,3,4,5,4,5
S13,2,13,12.68,13,19,1.5,52.63,84.21,5.26,2.56,41.67,16.39,57,4.5,38.46,90,38.17,19.18,10.53,1,1,93.33,70,85.71,3,4.1,752,0,5.26,16,18,2,4.4,3.67,3.75,3.5,3.67,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,5,4,4,5,4,5,3,3,4,3,4,4,3,4,4,3,4,3,4
S14,2,12,11.01,12,126,11.44,85.71,22.22,63.49,2.06,17.72,81.2,41,3.72,0,62.96,43.7,16.61,10.32,14,7,84.93,61.02,0,3,6.08,655,6,10.32,2,7,5,4,4,4,4,4.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,4,5,4,4,3,4,4,4,4,4,4,4,4,5,4,3,5,4,4
S15,1,8,8.06,8,29,3.6,79.31,62.07,17.24,1.13,33.07,41.07,34,4.22,0,82.61,35.05,11.67,20.69,1,0,76.92,70,35.29,1,4.47,471,3,3.45,8,13,5,3.8,4,3.75,3.75,3.67,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,2,4,5
S16,2,18,16.54,18,8,0.48,12.5,87.5,0,2,450.1,1.32,71,4.29,66.67,100,44.65,9.93,12.5,0,1,100,66.67,80,4,4.9,1185,1,0,17,21,4,3.2,3,3.25,3.5,3.33,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,3,4,3,3,3,3,4,2,3,4,3,3,4,3,4,3,4,3,3
S17,2,18,13.82,17,30,2.17,66.67,86.67,6.67,2.05,48.43,15.04,117,8.47,33.33,65,42.04,14.16,0,0,2,93.33,50,6.67,2,5.36,911,2,6.67,4,11,7,4,3.67,3.75,3.75,3.67,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,5,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4
S18,2,9,9.51,9,12,1.26,58.33,100,0,1.86,80.1,15.91,44,4.63,33.33,85.71,43.19,14.5,25,1,2,75,66.67,50,0,5.99,511,0,0,19,21,2,4,3.67,3.5,3.25,3.33,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,3,4,5,3,5,3,4,4,3,3,4,4,2,4,3,4,4,3,3
S19,2,16,13.43,16,36,2.68,72.22,63.89,16.67,3.46,35.38,27.37,76,5.66,18.75,73.08,40.38,22.57,22.22,2,3,66.67,76.92,7.14,2,4.76,792,2,8.33,7,10,3,4.2,3.33,3.75,4.25,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,4,4,5,3,5,3,3,4,4,4,4,3,5,4,4,4,4,4,4
S20,2,10,10.19,10,43,4.22,74.42,44.19,39.53,3.31,33.47,53.33,26,2.55,0,71.88,42.22,19.36,11.63,1,1,83.33,76.19,35.71,0,6.87,699,2,9.3,9,11,2,3.4,3.67,3.75,3.75,4.33,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,4,3,3,3,4,3,4,4,4,4,3,4,5,3,3,4,5,4,4
S21,2,11,10.64,11,53,4.98,73.58,62.26,32.08,1.26,28.57,52.7,38,3.57,9.09,79.49,48.12,16.64,16.98,3,7,84,60,8.33,2,5.26,670,0,7.55,6,16,10,3.8,4,3.25,3.5,3.67,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3
S22,1,8,7.33,8,62,8.46,88.71,37.1,45.16,1.51,26.74,49.55,53,7.23,0,69.09,49.15,16.04,9.68,4,6,68,84.85,0,1,6.96,382,1,9.68,0,4,4,3.8,3.33,4.25,4.5,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,4,3,4,4,4,3,3,5,4,4,4,5,5,4,4,3,4,4
S23,2,17,15.69,17,79,5.03,58.23,59.49,30.38,1.84,21.65,56.79,35,2.23,0,78.26,52.03,18.89,7.59,4,6,74.42,81.58,52.63,10,5.03,1063,1,8.86,18,24,6,4,4,4,4,3.67,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,3,4,4
S24,2,8,7.62,8,41,5.38,82.93,58.54,24.39,3.03,43.23,66.67,21,2.76,0,73.53,32.64,18.27,34.15,5,3,90.91,78.26,42.11,3,4.86,395,0,4.88,11,15,4,4.6,3.33,3.5,4.5,4,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,4,5,5,4,5,3,3,4,4,3,3,4,5,4,4,5,4,4,4
S25,2,8,8.53,8,12,1.41,41.67,75,8.33,3.4,65.05,11.36,41,4.8,0,100,48.49,23.27,8.33,0,0,85.71,50,100,0,4.57,408,0,8.33,17,22,5,3.4,2.67,4,3.5,3,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,3,3,4,4,3,3,3,2,3,5,4,4,4,4,3,3,3,3,3
