student,week,question_id,session_id,created_at,trigger_source,trigger_surface,question_type,error_source,error_code,error_severity,max_level_reached,cache_hit,helpful_rating,self_reported_outcome,post_confidence,help_latency_ms,edits_before_ask,recurring_error_count,recurring_concept_count,ms_since_previous_same_error,selection_line_count,selection_char_count,latency_ms,prompt_tokens,completion_tokens
S14,1,ec995a34-eade-400e-80b9-4b6fa4352de8,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:21:51.067Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,1,solved,no,3735,1,1,1,864220,,,6615,1906,624
S13,1,86d50625-8f22-45f4-9e03-692c25ad9eda,723ee2e0-2833-4f77-a0f2-90179d2a22cd,2030-03-05T07:21:55.582Z,selection,selection_keybinding,what_does_this_do,,,,0,0,1,,maybe,,,0,0,,3,63,3875,1697,548
S11,1,11dcca84-7b94-4b9e-b211-80288a3894af,7cc20ee0-c126-4a56-acb9-7114549bf65b,2030-03-05T07:22:11.387Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,1,,,89815,2,0,0,,,,3274,1601,455
S14,1,11f60060-9f78-40aa-a5c1-c57151510b7d,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:22:30.838Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,1,still_stuck,,13522,4,0,0,,,,11854,1774,497
S21,1,ce3453a6-0795-4e55-be79-b617b49c47b1,f2dca3c6-fad4-49a2-900a-f1bf4b64e1c0,2030-03-05T07:24:38.649Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,3,0,1,still_stuck,no,116442,3,0,0,,,,2496,1857,551
S06,1,189e4a68-15a0-40de-bd3d-ac62dff13385,7fb20184-f921-4f63-859d-d950756f057d,2030-03-05T07:25:55.397Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,solved,maybe,24744,2,0,0,,,,4415,1714,550
S02,1,5ddbe838-39ea-4f76-a510-2ae3a61f255c,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T07:26:45.767Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,-1,solved,,15062,0,0,0,,,,2832,1844,457
S04,1,4a3307ed-a73c-4c60-9bef-f59828684cf9,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T07:27:02.007Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,solved,,29130,3,0,0,,,,3938,2031,552
S09,1,86da47bb-475e-47a9-895b-6155cbd92ea3,f02df27d-3def-44ad-a374-69680ea52f00,2030-03-05T07:27:12.853Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,-1,still_stuck,,42671,0,0,0,,,,2857,2093,669
S12,1,87beb75a-b7f2-48b4-83e6-c704cb2ad820,27c58dc3-ca94-4ce4-bcc8-69e8ca90f09b,2030-03-05T07:27:26.722Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,-1,,yes,16244,0,0,0,,,,4488,2110,631
S19,1,3ef3630f-c01c-47ef-b19b-870c87c03e09,71363a61-aa65-4c85-8a32-eda929f41870,2030-03-05T07:28:35.489Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,,,34227,4,1,1,683884,,,6064,2014,612
S14,1,ddf882d7-812f-4fde-bb8a-41b529244a74,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:29:04.184Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,1,,,77866,1,1,1,393346,,,3626,2133,673
S14,1,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:29:42.414Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,1,still_stuck,,4451,2,0,0,,,,4567,1738,565
S23,1,def677b0-8a71-4fd4-b6c8-dda7dcc4ded0,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T07:30:35.142Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,maybe,1500,2,0,0,,,,5514,2029,688
S04,1,fd589327-8368-47ce-bee6-6b08188beb37,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T07:31:17.984Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,,still_stuck,,14889,2,0,0,,,,11051,1742,431
S07,1,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T07:31:29.741Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,,still_stuck,maybe,51478,2,0,0,,,,3611,1637,640
S11,1,1334c431-b58d-4e5b-8176-f6bd9db79e7c,7cc20ee0-c126-4a56-acb9-7114549bf65b,2030-03-05T07:32:54.769Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,0,-1,still_stuck,,12788,3,0,0,,,,4846,1825,463
S17,1,81c1b5d1-4ff3-4dd6-bfcf-a57f5f52df00,25983e22-2cee-454e-b4ac-0a3f9195401b,2030-03-05T07:33:21.247Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,,yes,65246,3,0,0,,,,4326,2096,524
S10,1,db9537fd-446a-4583-b933-ab0aac3b27ca,909c52ea-cea9-474a-b682-2ab11147c417,2030-03-05T07:33:47.739Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,maybe,9065,2,0,0,,,,5848,1484,438
S01,1,e7e8e0a2-dac1-47b6-a4d4-d778ea95234c,4b47b824-5b2b-4675-909f-d42fafe27f47,2030-03-05T07:33:56.315Z,selection,sidebar_button,what_does_this_do,,,,0,0,-1,,,,,0,0,,,,3254,1572,647
S25,1,9cec4c5d-3537-4c59-9d06-8cdfcea912a3,9917ff0b-150a-4620-a2c1-4151c2182054,2030-03-05T07:34:13.777Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,0,1,,yes,65046,5,0,0,,,,5237,1735,538
S20,1,6ad6166e-6d83-4611-84df-954621175a27,70650cd3-71d4-457b-a881-2637edb9841d,2030-03-05T07:34:16.694Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,solved,,9197,2,1,1,1285959,,,3395,1556,535
S14,1,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:35:06.987Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,,,,8076,4,0,0,,,,4603,1642,414
S14,1,ff0b9d0e-227c-46c7-b0ae-ca6a263a2dcf,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:35:14.785Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,1,,solved,,17999,0,0,0,,,,,,
S20,1,573358ac-c613-4607-b779-5c99fc8dd4a0,70650cd3-71d4-457b-a881-2637edb9841d,2030-03-05T07:35:44.065Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,-1,,,21386,3,2,2,87371,,,7669,1919,608
S15,1,5edc2dba-30d4-4c8d-a590-b6c866e191f3,da6396de-9847-4d19-95e8-8cf70f9c0821,2030-03-05T07:35:54.310Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,,solved,maybe,10234,1,0,0,,,,3320,1613,576
S08,1,b29174da-c4d4-4cb6-9c0c-7d05e8611cca,23b8d823-06a4-4a28-aeb0-a2a2ae179d1c,2030-03-05T07:36:12.725Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,,solved,,47427,12,0,0,,,,2195,1299,637
S23,1,5e43663f-5fee-42d4-9858-03a8b69e7753,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T07:36:39.342Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,3,0,1,,maybe,21650,1,0,0,,,,4477,1694,595
S06,1,a0346f73-c0ac-4ea4-954a-6701df9b606d,7fb20184-f921-4f63-859d-d950756f057d,2030-03-05T07:38:06.482Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,3,1,,,,30233,0,1,1,731085,,,,,
S23,1,953f7ed1-1296-4cf9-ade6-20617a4dc53c,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T07:38:42.069Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,1,1,,,33426,0,1,1,122727,,,,,
S22,1,86e63690-1440-43da-8827-796f9e48e865,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:38:49.072Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,0,0,,solved,,72222,0,2,2,1047877,,,9798,1950,628
S22,1,5ed87b17-6dc9-48a3-b565-c30f24972dc9,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:38:52.923Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,,,,37646,3,0,0,,,,2522,1539,496
S14,1,6b49e526-d373-4a69-b462-4ae617af3aa1,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:40:10.530Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,,,,121404,3,1,1,303543,,,3228,1924,599
S17,1,a7f20e8b-9c65-4a65-9608-bbfcc68a2720,25983e22-2cee-454e-b4ac-0a3f9195401b,2030-03-05T07:40:16.698Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,1,,,44743,2,0,1,,,,5206,1420,649
S09,1,1a3b8bcc-90ba-450a-9e62-2a6a31c75029,f02df27d-3def-44ad-a374-69680ea52f00,2030-03-05T07:40:21.083Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,1,,still_stuck,,9724,5,0,0,,,,,,
S02,1,dc732c18-bb71-4d86-9d65-29ba25913959,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T07:43:13.628Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,1,solved,,20850,3,0,0,,,,5599,1524,621
S21,1,65d6f626-0067-48a1-9d55-46f38d8f4385,f2dca3c6-fad4-49a2-900a-f1bf4b64e1c0,2030-03-05T07:44:09.985Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,,21599,0,0,0,,,,4943,1601,533
S22,1,c827c49c-5e8d-419f-b55a-4355a18fc521,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:44:44.161Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,solved,,5414,1,0,1,,,,8382,1668,582
S22,1,f2bdfd8f-b0e3-48c5-a4e8-5a8b427cb2b2,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:46:01.484Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,solved,,66208,1,0,0,,,,5183,1690,333
S18,1,2fd06662-aff5-471a-8bfb-da146a51a9a0,2a11856b-154d-42e3-b16b-75089ef3bb8d,2030-03-05T07:46:11.036Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,1,,yes,87774,1,0,0,,,,1940,1791,530
S23,1,a047f132-e3f0-4325-a883-8e95c597bd42,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T07:47:13.987Z,selection,selection_keybinding,what_does_this_do,,,,0,0,1,,yes,,,0,0,,19,798,4771,2380,631
S05,1,f459c411-f19b-4450-9c28-89be4f97b008,ba2acabe-c8f5-481d-bcab-515948a1af2c,2030-03-05T07:47:31.474Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,-1,solved,,98146,3,0,0,,,,5573,1613,599
S21,1,1dcb3198-f630-4b9d-91b4-e792512fdc26,f2dca3c6-fad4-49a2-900a-f1bf4b64e1c0,2030-03-05T07:49:07.479Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,0,0,-1,,no,21296,2,0,0,,,,7760,1529,491
S09,1,cfafd73b-e532-4abd-9099-a5b85396b3b9,f02df27d-3def-44ad-a374-69680ea52f00,2030-03-05T07:49:25.185Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,1,solved,maybe,79866,2,0,0,,,,4598,2031,437
S07,1,a2ab3453-5d1d-4473-a8dc-9db730ec2a15,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T07:49:34.093Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,solved,,47386,1,0,0,,,,5544,1773,495
S15,1,961697b0-2150-4280-a7a6-026852e343fb,da6396de-9847-4d19-95e8-8cf70f9c0821,2030-03-05T07:50:37.175Z,selection,selection_codelens,simpler_example,,,,2,0,-1,,maybe,,,0,0,,3,123,4577,1751,561
S14,1,8da666c6-fc0b-4431-91e0-67e27e8fee32,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:50:37.485Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,solved,,18995,3,2,2,626955,,,2997,2006,484
S07,1,b1166389-f37f-49e3-b10d-1cc5b35f6899,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T07:51:47.173Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,1,solved,maybe,11592,3,0,0,,,,3211,1445,346
S10,1,5576463f-4ed5-473c-9c78-1644754c2f6e,909c52ea-cea9-474a-b682-2ab11147c417,2030-03-05T07:52:54.965Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,still_stuck,,3611,4,0,0,,,,3958,1734,638
S08,1,9b9bed1f-6e59-40f4-b285-816a87dce182,23b8d823-06a4-4a28-aeb0-a2a2ae179d1c,2030-03-05T07:53:23.001Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,,,,164046,7,0,0,,,,8979,1759,519
S21,1,bab645b5-ada3-4fba-b21a-f331bad5a46d,f2dca3c6-fad4-49a2-900a-f1bf4b64e1c0,2030-03-05T07:53:34.637Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,no,60253,0,1,1,564652,,,6642,2000,565
S08,1,e4c7a73a-d6e9-4dba-a682-db8ca07b605d,23b8d823-06a4-4a28-aeb0-a2a2ae179d1c,2030-03-05T07:54:57.320Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,,,,8076,3,1,1,94319,,,3314,1890,593
S08,1,ca74a873-f4f8-44b1-bf17-95d1056d5971,23b8d823-06a4-4a28-aeb0-a2a2ae179d1c,2030-03-05T07:54:57.909Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,solved,,55194,1,0,0,,,,5171,1962,521
S22,1,d5d7b4e4-d916-4ffe-9753-faf1e5f424d6,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:55:43.297Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,1,,,14311,0,0,0,,,,3967,1892,566
S02,1,5942b491-2474-4d2f-9109-23e9c16e5c79,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T07:57:26.781Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,still_stuck,,61836,4,0,0,,,,3207,1679,715
S14,1,4e4593c6-4701-461a-b90b-b81493878667,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:58:02.090Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,,no,9547,0,2,2,2171023,,,3818,1716,397
S07,1,1c8fa349-ddd4-498f-9e68-fdaf975dd2ce,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T07:58:19.910Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,2,0,,solved,maybe,37479,3,1,1,392737,,,2927,1446,334
S04,1,744a8ac3-d376-4a2b-921e-fdef19ebe3f7,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T07:59:13.647Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,still_stuck,,23964,1,1,1,1675663,,,2899,1587,468
S04,1,62fa8530-e892-48f5-851e-2da14a3e0f55,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T07:59:45.112Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,solved,,124488,1,0,0,,,,3186,1319,590
S25,1,c8c82e01-a3f7-438a-9056-ecee22a199c0,9917ff0b-150a-4620-a2c1-4151c2182054,2030-03-05T08:00:32.805Z,selection,selection_keybinding,why_works,,,,0,0,,still_stuck,,,,0,0,,4,116,8727,1585,514
S22,1,dee0482f-b0a4-4016-baca-67748f807747,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T08:00:49.635Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,1,,,44176,3,0,0,,,,7836,1858,587
S18,1,6cbb52b9-beab-4992-927c-44d64c2a57d1,2a11856b-154d-42e3-b16b-75089ef3bb8d,2030-03-05T08:01:01.634Z,selection,sidebar_button,what_does_this_do,,,,0,0,1,,,,,0,0,,6,240,5088,1656,503
S14,1,1ff053b0-c17b-41a1-a29e-b48dc12890ec,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T08:01:16.528Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,,solved,,16916,1,0,0,,,,6712,1622,500
S10,1,bcf78f58-338b-4a8f-824a-3ecc35f3d47e,909c52ea-cea9-474a-b682-2ab11147c417,2030-03-05T08:01:38.254Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,,,15741,2,1,1,523289,,,5113,2010,485
S12,1,9f06c4e5-2ae2-4075-b033-2706b683a288,27c58dc3-ca94-4ce4-bcc8-69e8ca90f09b,2030-03-05T08:01:43.592Z,selection,selection_lightbulb,free_text,,,,2,0,-1,still_stuck,yes,,,0,0,,4,140,4236,1641,571
S19,1,693e4d9b-2f65-412f-90d9-5a13ae49bbf9,71363a61-aa65-4c85-8a32-eda929f41870,2030-03-05T08:03:38.954Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,-1,solved,,22576,6,2,2,2103465,,,5147,1811,440
S06,1,709794ba-f2e1-4299-ae15-692fbe74637f,7fb20184-f921-4f63-859d-d950756f057d,2030-03-05T08:04:43.368Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,0,1,solved,no,14869,3,0,0,,,,6155,1470,619
S06,1,69758674-8f97-40b3-a0c3-e70c8e7e8257,7fb20184-f921-4f63-859d-d950756f057d,2030-03-05T08:10:09.833Z,selection,selection_codelens,simpler_example,,,,0,0,,,maybe,,,0,0,,19,608,4952,1412,477
S09,1,8a02145e-805d-4135-995d-c3ecac5d3652,f02df27d-3def-44ad-a374-69680ea52f00,2030-03-05T08:11:17.914Z,selection,selection_codelens,whats_wrong,,,,0,0,1,solved,maybe,,,0,0,,2,54,3443,1531,708
S23,1,a8c0e9a9-7039-4272-a397-66ec7811b4a2,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T08:12:42.509Z,selection,selection_status_bar,simpler_example,,,,0,0,,,,,,0,1,,5,115,7976,1848,568
S22,1,4036e6b5-e73c-45e0-84ff-4e772484cdca,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T08:16:20.631Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,,,35359,2,1,1,1819147,,,3692,1891,425
S23,1,18e9b597-4380-4fbf-a198-7313f0394dd2,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T08:16:58.114Z,selection,selection_keybinding,what_does_this_do,,,,0,0,1,,maybe,,,0,2,,2,64,4471,1327,709
S21,1,c6bc5def-4ed8-462c-8829-0c92c5b8b642,f2dca3c6-fad4-49a2-900a-f1bf4b64e1c0,2030-03-05T08:18:20.111Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,1,still_stuck,no,11481,1,2,2,1485474,,,3225,2039,613
S20,1,137d25cf-d07a-4ae2-a2f1-7156c74e2c3a,70650cd3-71d4-457b-a881-2637edb9841d,2030-03-05T08:18:50.032Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,,,,32678,4,0,0,,,,2470,1730,484
S23,1,3570be6c-a584-424b-9217-0827ee7e9a8a,d085a428-2e2d-4f9a-8b5d-0d60ca33fda6,2030-03-05T08:19:07.315Z,selection,selection_codelens,what_does_this_do,,,,0,0,-1,solved,,,,0,3,,6,222,4400,1821,531
S02,1,2e0740e5-444a-4533-856d-ee991b09b29c,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T08:19:10.092Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,1,,,,27532,1,1,1,4113412,,,,,
S05,1,ace46578-369e-493e-bf66-b93b012c3c64,ba2acabe-c8f5-481d-bcab-515948a1af2c,2030-03-05T08:19:16.304Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,0,,,,44419,0,0,0,,,,4632,2007,581
S04,1,e5595ac0-dd8d-4a80-a978-4a85231d63f9,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T08:21:08.409Z,selection,selection_codelens,what_does_this_do,,,,0,0,,,,,,0,0,,28,644,5317,1965,604
S14,1,241c6fb1-d825-4f46-aa9d-79b0431e6274,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T08:22:53.372Z,selection,sidebar_button,what_does_this_do,,,,3,0,,still_stuck,,,,0,0,,31,620,5886,1534,554
S10,1,6231f754-e34f-4bce-bd5f-8cbf0f0955bc,909c52ea-cea9-474a-b682-2ab11147c417,2030-03-05T08:24:02.198Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,,solved,yes,35455,3,0,0,,,,5339,1550,560
S16,1,c6513d25-c917-434f-8a4f-223e500d2ddf,a8554a7b-c99a-48c2-b8ab-3d23cb39e672,2030-03-05T08:24:04.911Z,selection,sidebar_button,what_does_this_do,,,,0,0,1,solved,maybe,,,0,0,,1,18,3912,1600,589
S15,1,c6eba1c9-dc30-47d2-8a6a-7745cf8c1989,da6396de-9847-4d19-95e8-8cf70f9c0821,2030-03-05T08:24:06.758Z,selection,selection_status_bar,why_works,,,,0,0,1,,maybe,,,0,1,,16,288,3590,2117,590
S22,1,efe431ea-6cdc-4c27-be24-5de80089ef30,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T08:26:37.106Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,solved,no,17260,2,1,2,2512945,,,5891,1804,380
S02,1,35be3d66-35d1-4b5a-a13b-d58e4cb2340d,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T08:27:00.622Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,,,,37399,3,2,2,470530,,,2806,1364,518
S04,1,783d96a3-5d6e-4f2a-8028-5bf0b2b4a5e1,fa99bc45-4a2f-4707-a3c7-992fffd97ba5,2030-03-05T08:27:46.003Z,selection,selection_codelens,free_text,,,,0,0,1,,yes,,,0,1,,5,180,6056,1543,560
S07,1,437ae49f-5179-4079-bbcf-8f2da7af2cc7,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T08:27:52.178Z,selection,selection_lightbulb,what_does_this_do,,,,3,0,1,,,,,0,0,,40,760,5216,1592,424
