student,week,server_ts,event_type,question_id,level,isEscalation,msSinceCreated,visibleMs,visibleAtDelivery,msToReturn,reason,overlapRatio,editedLineDistance,msToResolution,msPresent,editsWhilePresent,fileName,msWithErrors,editsWhileErrors,diagnosticsSeen,diagnosticsAsked,exitCode,success,stage,triggerSurface,selectionLineCount,selectionCharCount,kind,code,retryAfterSeconds,from,to
S22,1,2030-03-05T07:14:38.641Z,diagnostic_resolved,70570f4b-5598-43bf-aafe-8c0c6c4adc01,,,,,,,,,,6304,17925,7,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:14:46.473Z,returned_to_code,70570f4b-5598-43bf-aafe-8c0c6c4adc01,1,,,,,14136,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:15:16.694Z,explanation_visibility,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,,,,101018,1,,,,,,,,,,,,,,,,,,,,,,,
S05,1,2030-03-05T07:15:23.149Z,returned_to_code,e0ba376a-75f8-4071-9b64-2f6e496265f4,1,,,,,26970,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:15:46.783Z,explanation_visibility,70570f4b-5598-43bf-aafe-8c0c6c4adc01,,,,2501,1,,,,,,,,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:16:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,1276623,12,2,2,,,,,,,,,,,
S02,1,2030-03-05T07:16:03.537Z,explanation_visibility,e88d54b2-877c-423e-ac72-0e7b1eaa06d0,,,,160967,1,,,,,,,,,,,,,,,,,,,,,,,
S05,1,2030-03-05T07:16:10.343Z,explanation_visibility,e0ba376a-75f8-4071-9b64-2f6e496265f4,,,,42633,1,,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:16:56.524Z,returned_to_code,993bc35a-018e-4522-9102-bae1eb227ff5,1,,,,,4386,,,,,,,,,,,,,,,,,,,,,,
S08,1,2030-03-05T07:17:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,222664,19,4,2,,,,,,,,,,,
S05,1,2030-03-05T07:17:07.000Z,diagnostic_resolved,e0ba376a-75f8-4071-9b64-2f6e496265f4,,,,,,,,,,130821,142164,6,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:17:33.516Z,explanation_visibility,993bc35a-018e-4522-9102-bae1eb227ff5,,,,19774,1,,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:17:44.889Z,level_reached,f1e30d84-94e8-4e20-8d57-c7c276557cbc,2,1,33284,,,,,,,,,,,,,,,,,,,,,,,,,
S06,1,2030-03-05T07:17:56.929Z,returned_to_code,a9deeaba-6881-4bdb-ad7e-fad7a558cee4,1,,,,,29195,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:01.879Z,level_reached,f1e30d84-94e8-4e20-8d57-c7c276557cbc,3,1,50274,,,,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:10.524Z,request_failed,,,,,,,,,,,,,,,,,,,,,,,,,backend,provider_error,,,
S06,1,2030-03-05T07:18:21.558Z,diagnostic_resolved,a9deeaba-6881-4bdb-ad7e-fad7a558cee4,,,,,,,,,,53824,95965,3,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:26.070Z,explanation_visibility,f1e30d84-94e8-4e20-8d57-c7c276557cbc,,,,42864,1,,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:27.960Z,returned_to_code,f1e30d84-94e8-4e20-8d57-c7c276557cbc,3,,,,,26081,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:38.254Z,post_feedback_edit,f1e30d84-94e8-4e20-8d57-c7c276557cbc,,,,,,,,0.697,0,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:18:52.118Z,diagnostic_resolved,f1e30d84-94e8-4e20-8d57-c7c276557cbc,,,,,,,,,,100513,221121,8,,,,,,,,,,,,,,,,
S06,1,2030-03-05T07:19:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,1811961,15,3,1,,,,,,,,,,,
S07,1,2030-03-05T07:19:41.558Z,level_reached,97e18f7c-d224-4707-b1c9-1ad5283eda09,2,1,38232,,,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:19:50.696Z,level_reached,97e18f7c-d224-4707-b1c9-1ad5283eda09,3,1,47370,,,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:20:43.837Z,post_feedback_edit,97e18f7c-d224-4707-b1c9-1ad5283eda09,,,,,,,,0.365,0,,,,,,,,,,,,,,,,,,,
S06,1,2030-03-05T07:20:44.511Z,explanation_visibility,a9deeaba-6881-4bdb-ad7e-fad7a558cee4,,,,26575,1,,,,,,,,,,,,,,,,,,,,,,,
S16,1,2030-03-05T07:22:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,348250,9,2,0,,,,,,,,,,,
S14,1,2030-03-05T07:22:06.289Z,level_reached,ec995a34-eade-400e-80b9-4b6fa4352de8,2,1,15222,,,,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:22:07.359Z,level_reached,995deef6-0fd7-49ea-97cb-612fe845987e,2,1,46164,,,,,,,,,,,,,,,,,,,,,,,,,
S13,1,2030-03-05T07:22:10.329Z,returned_to_code,86d50625-8f22-45f4-9e03-692c25ad9eda,1,,,,,14747,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:22:15.948Z,level_reached,995deef6-0fd7-49ea-97cb-612fe845987e,3,1,54753,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:22:16.912Z,level_reached,ec995a34-eade-400e-80b9-4b6fa4352de8,3,1,25845,,,,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:22:22.870Z,returned_to_code,995deef6-0fd7-49ea-97cb-612fe845987e,3,,,,,6922,,,,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:22:27.473Z,returned_to_code,11dcca84-7b94-4b9e-b211-80288a3894af,1,,,,,16086,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:22:51.526Z,post_feedback_edit,995deef6-0fd7-49ea-97cb-612fe845987e,,,,,,,,0.62,0,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:23:01.221Z,returned_to_code,ec995a34-eade-400e-80b9-4b6fa4352de8,3,,,,,44309,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:23:40.576Z,level_reached,11f60060-9f78-40aa-a5c1-c57151510b7d,2,1,69738,,,,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:23:42.194Z,explanation_visibility,995deef6-0fd7-49ea-97cb-612fe845987e,,,,46294,1,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:23:45.944Z,level_reached,11f60060-9f78-40aa-a5c1-c57151510b7d,3,1,75106,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:23:49.413Z,returned_to_code,11f60060-9f78-40aa-a5c1-c57151510b7d,3,,,,,3469,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:23:55.828Z,explanation_visibility,ec995a34-eade-400e-80b9-4b6fa4352de8,,,,7769,0,,,,,,,,,,,,,,,,,,,,,,,
S13,1,2030-03-05T07:23:59.004Z,explanation_visibility,86d50625-8f22-45f4-9e03-692c25ad9eda,,,,95268,1,,,,,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:24:08.015Z,diagnostic_resolved,11dcca84-7b94-4b9e-b211-80288a3894af,,,,,,,,,,116628,206443,4,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:24:16.780Z,post_feedback_edit,11f60060-9f78-40aa-a5c1-c57151510b7d,,,,,,,,0.556,0,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:24:32.199Z,fix_undone,11f60060-9f78-40aa-a5c1-c57151510b7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:24:40.757Z,explanation_visibility,11f60060-9f78-40aa-a5c1-c57151510b7d,,,,23218,1,,,,,,,,,,,,,,,,,,,,,,,
S22,1,2030-03-05T07:24:48.691Z,diagnostic_resolved,995deef6-0fd7-49ea-97cb-612fe845987e,,,,,,,,,,207496,277593,7,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:25:03.676Z,level_reached,ce3453a6-0795-4e55-be79-b617b49c47b1,2,1,25027,,,,,,,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:25:30.100Z,level_reached,ce3453a6-0795-4e55-be79-b617b49c47b1,3,1,51451,,,,,,,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:25:33.254Z,explanation_visibility,ce3453a6-0795-4e55-be79-b617b49c47b1,,,,21422,0,,,,,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:25:43.180Z,post_feedback_edit,ce3453a6-0795-4e55-be79-b617b49c47b1,,,,,,,,0.827,0,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:25:50.139Z,returned_to_code,ce3453a6-0795-4e55-be79-b617b49c47b1,3,,,,,20039,,,,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:26:23.752Z,diagnostic_resolved,ce3453a6-0795-4e55-be79-b617b49c47b1,,,,,,,,,,105103,221545,3,,,,,,,,,,,,,,,,
S06,1,2030-03-05T07:26:24.655Z,returned_to_code,189e4a68-15a0-40de-bd3d-ac62dff13385,1,,,,,29258,,,,,,,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:26:55.203Z,returned_to_code,5ddbe838-39ea-4f76-a510-2ae3a61f255c,1,,,,,9436,,,,,,,,,,,,,,,,,,,,,,
S09,1,2030-03-05T07:27:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,1081511,10,2,1,,,,,,,,,,,
S12,1,2030-03-05T07:27:34.681Z,diagnostic_resolved,87beb75a-b7f2-48b4-83e6-c704cb2ad820,,,,,,,,,,7959,24203,2,,,,,,,,,,,,,,,,
S12,1,2030-03-05T07:27:45.000Z,level_reached,87beb75a-b7f2-48b4-83e6-c704cb2ad820,2,1,18278,,,,,,,,,,,,,,,,,,,,,,,,,
S09,1,2030-03-05T07:27:57.053Z,level_reached,86da47bb-475e-47a9-895b-6155cbd92ea3,2,1,44200,,,,,,,,,,,,,,,,,,,,,,,,,
S09,1,2030-03-05T07:27:58.318Z,explanation_visibility,86da47bb-475e-47a9-895b-6155cbd92ea3,,,,22557,1,,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:28:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,945913,22,4,2,,,,,,,,,,,
S14,1,2030-03-05T07:28:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,102191,17,2,1,,,,,,,,,,,
S09,1,2030-03-05T07:28:02.910Z,level_reached,86da47bb-475e-47a9-895b-6155cbd92ea3,3,1,50057,,,,,,,,,,,,,,,,,,,,,,,,,
S12,1,2030-03-05T07:28:11.508Z,returned_to_code,87beb75a-b7f2-48b4-83e6-c704cb2ad820,2,,,,,26508,,,,,,,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:28:15.602Z,explanation_visibility,5ddbe838-39ea-4f76-a510-2ae3a61f255c,,,,58812,1,,,,,,,,,,,,,,,,,,,,,,,
S09,1,2030-03-05T07:28:33.507Z,post_feedback_edit,86da47bb-475e-47a9-895b-6155cbd92ea3,,,,,,,,0.523,1,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:28:34.946Z,explanation_visibility,11dcca84-7b94-4b9e-b211-80288a3894af,,,,36571,1,,,,,,,,,,,,,,,,,,,,,,,
S06,1,2030-03-05T07:28:37.032Z,explanation_visibility,189e4a68-15a0-40de-bd3d-ac62dff13385,,,,92690,1,,,,,,,,,,,,,,,,,,,,,,,
S09,1,2030-03-05T07:28:44.549Z,returned_to_code,86da47bb-475e-47a9-895b-6155cbd92ea3,3,,,,,41639,,,,,,,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:28:54.115Z,returned_to_code,4a3307ed-a73c-4c60-9bef-f59828684cf9,1,,,,,112108,,,,,,,,,,,,,,,,,,,,,,
S12,1,2030-03-05T07:29:05.602Z,explanation_visibility,87beb75a-b7f2-48b4-83e6-c704cb2ad820,,,,47299,0,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:29:10.815Z,level_reached,ddf882d7-812f-4fde-bb8a-41b529244a74,2,1,6631,,,,,,,,,,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:29:18.173Z,diagnostic_resolved,5ddbe838-39ea-4f76-a510-2ae3a61f255c,,,,,,,,,,152406,167468,1,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:29:23.916Z,level_reached,ddf882d7-812f-4fde-bb8a-41b529244a74,3,1,19732,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:29:28.527Z,diagnostic_resolved,ddf882d7-812f-4fde-bb8a-41b529244a74,,,,,,,,,,24343,102209,2,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:29:39.812Z,returned_to_code,ddf882d7-812f-4fde-bb8a-41b529244a74,3,,,,,15896,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:29:50.696Z,feedback_abandoned,97e18f7c-d224-4707-b1c9-1ad5283eda09,3,,,,,,timeout,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:29:59.481Z,level_reached,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,2,1,17067,,,,,,,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:30:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,398536,22,6,1,,,,,,,,,,,
S19,1,2030-03-05T07:30:28.602Z,level_reached,3ef3630f-c01c-47ef-b19b-870c87c03e09,2,1,113113,,,,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:30:32.709Z,level_reached,3ef3630f-c01c-47ef-b19b-870c87c03e09,3,1,117220,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:30:34.695Z,level_reached,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,3,1,52281,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:30:39.415Z,post_feedback_edit,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,,,,,,,,0.629,0,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:30:47.690Z,post_feedback_edit,3ef3630f-c01c-47ef-b19b-870c87c03e09,,,,,,,,0.539,0,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:30:49.133Z,post_feedback_edit,ddf882d7-812f-4fde-bb8a-41b529244a74,,,,,,,,0.938,1,,,,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:30:53.040Z,returned_to_code,def677b0-8a71-4fd4-b6c8-dda7dcc4ded0,1,,,,,17898,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:31:14.522Z,returned_to_code,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,3,,,,,39827,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:31:32.211Z,diagnostic_resolved,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,,,,,,,,,,109797,114248,4,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:31:42.565Z,level_reached,fd589327-8368-47ce-bee6-6b08188beb37,2,1,24581,,,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:31:47.427Z,level_reached,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,2,1,17686,,,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:31:53.368Z,diagnostic_resolved,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,,,,,,,,,,23627,75105,4,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:31:56.489Z,level_reached,fd589327-8368-47ce-bee6-6b08188beb37,3,1,38505,,,,,,,,,,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:32:06.672Z,post_feedback_edit,fd589327-8368-47ce-bee6-6b08188beb37,,,,,,,,0.371,0,,,,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:32:17.426Z,diagnostic_resolved,fd589327-8368-47ce-bee6-6b08188beb37,,,,,,,,,,59442,74331,5,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:32:23.632Z,returned_to_code,fd589327-8368-47ce-bee6-6b08188beb37,3,,,,,27143,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:32:27.848Z,level_reached,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,3,1,58107,,,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:32:35.647Z,returned_to_code,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,3,,,,,7799,,,,,,,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:32:38.680Z,diagnostic_resolved,def677b0-8a71-4fd4-b6c8-dda7dcc4ded0,,,,,,,,,,123538,125038,4,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:32:49.060Z,post_feedback_edit,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,,,,,,,,0.604,1,,,,,,,,,,,,,,,,,,,
S04,1,2030-03-05T07:32:58.418Z,diagnostic_resolved,4a3307ed-a73c-4c60-9bef-f59828684cf9,,,,,,,,,,356411,385541,4,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:33:15.665Z,returned_to_code,1334c431-b58d-4e5b-8176-f6bd9db79e7c,1,,,,,20896,,,,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:33:34.173Z,diagnostic_resolved,1334c431-b58d-4e5b-8176-f6bd9db79e7c,,,,,,,,,,39404,52192,5,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:33:37.216Z,explanation_visibility,def677b0-8a71-4fd4-b6c8-dda7dcc4ded0,,,,69153,1,,,,,,,,,,,,,,,,,,,,,,,
S17,1,2030-03-05T07:33:39.187Z,returned_to_code,81c1b5d1-4ff3-4dd6-bfcf-a57f5f52df00,1,,,,,17940,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:33:47.849Z,explanation_visibility,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,,,,40633,1,,,,,,,,,,,,,,,,,,,,,,,
S07,1,2030-03-05T07:33:54.352Z,fix_undone,bbf56c66-bbe9-42d4-8190-f0ee61a6ee3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,1,2030-03-05T07:33:58.206Z,returned_to_code,db9537fd-446a-4583-b933-ab0aac3b27ca,1,,,,,10467,,,,,,,,,,,,,,,,,,,,,,
S03,1,2030-03-05T07:34:00.000Z,run_finished,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,
S01,1,2030-03-05T07:34:10.894Z,returned_to_code,e7e8e0a2-dac1-47b6-a4d4-d778ea95234c,1,,,,,14579,,,,,,,,,,,,,,,,,,,,,,
S17,1,2030-03-05T07:34:20.244Z,explanation_visibility,81c1b5d1-4ff3-4dd6-bfcf-a57f5f52df00,,,,16840,0,,,,,,,,,,,,,,,,,,,,,,,
S19,1,2030-03-05T07:34:21.145Z,explanation_visibility,3ef3630f-c01c-47ef-b19b-870c87c03e09,,,,21561,0,,,,,,,,,,,,,,,,,,,,,,,
S11,1,2030-03-05T07:34:42.029Z,explanation_visibility,1334c431-b58d-4e5b-8176-f6bd9db79e7c,,,,31054,1,,,,,,,,,,,,,,,,,,,,,,,
S25,1,2030-03-05T07:34:48.511Z,returned_to_code,9cec4c5d-3537-4c59-9d06-8cdfcea912a3,1,,,,,34734,,,,,,,,,,,,,,,,,,,,,,
S10,1,2030-03-05T07:34:59.804Z,diagnostic_resolved,db9537fd-446a-4583-b933-ab0aac3b27ca,,,,,,,,,,72065,81130,3,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:35:06.568Z,returned_to_code,6ad6166e-6d83-4611-84df-954621175a27,1,,,,,49874,,,,,,,,,,,,,,,,,,,,,,
S25,1,2030-03-05T07:35:25.894Z,diagnostic_resolved,9cec4c5d-3537-4c59-9d06-8cdfcea912a3,,,,,,,,,,72117,137163,6,,,,,,,,,,,,,,,,
S01,1,2030-03-05T07:35:33.883Z,explanation_visibility,e7e8e0a2-dac1-47b6-a4d4-d778ea95234c,,,,36214,1,,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:35:43.096Z,explanation_visibility,6ad6166e-6d83-4611-84df-954621175a27,,,,62469,1,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:35:47.133Z,level_reached,ff0b9d0e-227c-46c7-b0ae-ca6a263a2dcf,2,1,32348,,,,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:36:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,513343,20,4,0,,,,,,,,,,,
S15,1,2030-03-05T07:36:00.085Z,level_reached,5edc2dba-30d4-4c8d-a590-b6c866e191f3,2,1,5775,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:00.928Z,explanation_visibility,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,,,,35957,1,,,,,,,,,,,,,,,,,,,,,,,
S25,1,2030-03-05T07:36:02.621Z,explanation_visibility,9cec4c5d-3537-4c59-9d06-8cdfcea912a3,,,,48551,1,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:03.803Z,diagnostic_resolved,ff0b9d0e-227c-46c7-b0ae-ca6a263a2dcf,,,,,,,,,,49018,67017,1,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:36:07.691Z,returned_to_code,573358ac-c613-4607-b779-5c99fc8dd4a0,1,,,,,23626,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:36:16.837Z,level_reached,5edc2dba-30d4-4c8d-a590-b6c866e191f3,3,1,22527,,,,,,,,,,,,,,,,,,,,,,,,,
S10,1,2030-03-05T07:36:19.309Z,explanation_visibility,db9537fd-446a-4583-b933-ab0aac3b27ca,,,,135495,1,,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:36:21.788Z,returned_to_code,5edc2dba-30d4-4c8d-a590-b6c866e191f3,3,,,,,4951,,,,,,,,,,,,,,,,,,,,,,
S08,1,2030-03-05T07:36:28.046Z,level_reached,b29174da-c4d4-4cb6-9c0c-7d05e8611cca,2,1,15321,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:29.125Z,explanation_visibility,babb6763-b7ea-4f0e-816c-62e8c34e1ff2,,,,339383,1,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:32.912Z,level_reached,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,2,1,85925,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:34.567Z,diagnostic_resolved,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,,,,,,,,,,87580,95656,5,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:36:41.626Z,post_feedback_edit,5edc2dba-30d4-4c8d-a590-b6c866e191f3,,,,,,,,0.424,0,,,,,,,,,,,,,,,,,,,
S08,1,2030-03-05T07:36:48.535Z,returned_to_code,b29174da-c4d4-4cb6-9c0c-7d05e8611cca,2,,,,,20489,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:36:55.467Z,level_reached,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,3,1,108480,,,,,,,,,,,,,,,,,,,,,,,,,
S21,1,2030-03-05T07:37:00.000Z,file_cleared,,,,,,,,,,,,,,lab1_input.py,782557,10,2,1,,,,,,,,,,,
S04,1,2030-03-05T07:37:00.244Z,explanation_visibility,fd589327-8368-47ce-bee6-6b08188beb37,,,,305700,1,,,,,,,,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:37:02.107Z,level_reached,5e43663f-5fee-42d4-9858-03a8b69e7753,2,1,22765,,,,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:37:02.444Z,diagnostic_resolved,5edc2dba-30d4-4c8d-a590-b6c866e191f3,,,,,,,,,,68134,78368,2,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:37:06.813Z,level_reached,5e43663f-5fee-42d4-9858-03a8b69e7753,3,1,27471,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:37:25.406Z,returned_to_code,04d416a1-08c3-45a1-8f3d-a9b5fdb4cf91,3,,,,,29939,,,,,,,,,,,,,,,,,,,,,,
S15,1,2030-03-05T07:37:30.121Z,explanation_visibility,5edc2dba-30d4-4c8d-a590-b6c866e191f3,,,,56855,1,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:37:31.326Z,level_reached,ff0b9d0e-227c-46c7-b0ae-ca6a263a2dcf,3,1,136541,,,,,,,,,,,,,,,,,,,,,,,,,
S23,1,2030-03-05T07:37:44.480Z,returned_to_code,5e43663f-5fee-42d4-9858-03a8b69e7753,3,,,,,37667,,,,,,,,,,,,,,,,,,,,,,
