variable,item_id,label_en,label_tr,label_es,category,category_en,kind,level,type,allowed_values,value_labels_en,value_labels_tr,value_labels_es,missing,source_table,source_column,formula_version,page
coding_sessions_files_created,coding_sessions.files_created,Files created,Oluşturulan dosya,Archivos creados,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,files_created,,data/activity/files-created
coding_sessions_language_counts,coding_sessions.language_counts,Languages edited,Düzenlenen diller,Lenguajes editados,activity,Coding activity,raw,column,jsonb,"object: VS Code languageId -> count of counted edit events, e.g. {""python"": 42}",,,,,coding_sessions,language_counts,,data/activity/languages-edited
coding_sessions_errors_resolved_without_asking,coding_sessions.errors_resolved_without_asking,Fixed without asking,Sormadan düzeltilen,Corregidos sin preguntar,outcomes,Error outcomes,derived,column,integer,0 or more,,,,,coding_sessions,errors_resolved_without_asking,1.0,data/outcomes/fixed-without-asking
coding_sessions_diagnostics_offered,coding_sessions.diagnostics_offered,Help offers,Yardım teklifi,Ofertas de ayuda,before,Before asking,derived,column,integer,0 or more,,,,,coding_sessions,diagnostics_offered,1.0,data/before/help-offers
coding_sessions_large_paste_count,coding_sessions.large_paste_count,Large pastes,Büyük yapıştırma,Pegados grandes,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,large_paste_count,1.0,data/activity/large-pastes
coding_sessions_large_paste_lines,coding_sessions.large_paste_lines,Large paste lines,Büyük yapıştırma satırı,Líneas de pegados grandes,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,large_paste_lines,1.0,data/activity/large-pastes
coding_sessions_focus_loss_count,coding_sessions.focus_loss_count,Left VS Code,VS Code’dan ayrıldı,Salió de VS Code,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,focus_loss_count,,data/activity/left-vscode
coding_sessions_unfocused_seconds,coding_sessions.unfocused_seconds,Time away from VS Code,VS Code dışında geçen süre,Tiempo fuera de VS Code,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,unfocused_seconds,1.0,data/activity/left-vscode
coding_sessions_save_count,coding_sessions.save_count,Saves,Kaydetme,Guardados,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,save_count,,data/activity/saves
coding_sessions_debug_session_count,coding_sessions.debug_session_count,Debug runs,Hata ayıklama çalıştırması,Depuraciones,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,debug_session_count,,data/activity/debug-and-task-runs
coding_sessions_task_run_count,coding_sessions.task_run_count,Task runs,Görev çalıştırması,Tareas ejecutadas,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,task_run_count,,data/activity/debug-and-task-runs
coding_sessions_follow_on_error_count,coding_sessions.follow_on_error_count,New errors right after a fix,Düzeltmenin hemen ardından yeni hata,Errores nuevos justo después de corregir,outcomes,Error outcomes,derived,column,integer,0 or more,,,,,coding_sessions,follow_on_error_count,1.0,data/outcomes/follow-on-errors
coding_sessions_silent_resolution_edits,coding_sessions.silent_resolution_edits,Edits during unaided fixes,Yardımsız düzeltmeler sırasındaki düzenlemeler,Ediciones durante correcciones sin ayuda,outcomes,Error outcomes,derived,column,integer,0 or more,,,,,coding_sessions,silent_resolution_edits,1.0,data/outcomes/edits-per-unaided-fix
coding_sessions_idle_gap_count,coding_sessions.idle_gap_count,Breaks,Molalar,Pausas,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,idle_gap_count,1.0,data/activity/breaks
coding_sessions_editor_switch_count,coding_sessions.editor_switch_count,Switched between files,Dosyalar arası geçiş,Cambios entre archivos,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,editor_switch_count,,data/activity/file-switches
coding_sessions_files_visited,coding_sessions.files_visited,Files opened,Açılan dosya,Archivos abiertos,activity,Coding activity,raw,column,integer,0 or more,,,,,coding_sessions,files_visited,,data/activity/file-switches
interactions_id,interactions.id,Question id,Soru kimliği,Id de la pregunta,technical,Technical fields,raw,column,uuid,generated,,,,,interactions,id,,reference/interactions
interactions_session_id,interactions.session_id,Session id,Oturum kimliği,Id de la sesión,technical,Technical fields,raw,column,uuid,coding_sessions.id,,,,,interactions,session_id,,reference/interactions
interactions_user_id,interactions.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,interactions,user_id,,reference/interactions
interactions_course_id,interactions.course_id,Course id (unused),Ders kimliği (kullanılmıyor),Id de la asignatura (sin uso),technical,Technical fields,raw,column,uuid,always null,,,,NULL (empty cell),interactions,course_id,,reference/interactions
interactions_created_at,interactions.created_at,Question time,Soru zamanı,Momento de la pregunta,asking,Asking for help,raw,column,timestamptz,timestamp,,,,,interactions,created_at,,reference/interactions
interactions_trigger_source,interactions.trigger_source,Source,Kaynak,Origen,asking,Asking for help,raw,column,text,check: diagnostic | runtime | selection | stuck | paste | success. Only 'diagnostic' and 'selection' are produced.,diagnostic = Error; selection = Selection; runtime = Runtime; stuck = Stuck; paste = Paste; success = Success,diagnostic = Hata; selection = Seçim; runtime = Çalışma zamanı; stuck = Takılma; paste = Yapıştırma; success = Başarı,diagnostic = Error; selection = Selección; runtime = Ejecución; stuck = Atasco; paste = Pegado; success = Éxito,,interactions,trigger_source,,data/asking/trigger-source
interactions_trigger_surface,interactions.trigger_surface,Where questions start,Sorular nereden başlıyor,Desde dónde se pregunta,asking,Asking for help,raw,column,text,diagnostic_codelens | diagnostic_lightbulb | diagnostic_gutter_hover | selection_codelens | selection_lightbulb | selection_status_bar | selection_keybinding | sidebar_button | command_palette | null,diagnostic_codelens = Error: CodeLens; diagnostic_lightbulb = Error: lightbulb; diagnostic_gutter_hover = Error: gutter hover; selection_codelens = Selection: CodeLens; selection_lightbulb = Selection: lightbulb; selection_status_bar = Selection: status bar; selection_keybinding = Selection: shortcut; sidebar_button = Sidebar button; command_palette = Command palette; unknown = Not recorded,diagnostic_codelens = Hata: CodeLens; diagnostic_lightbulb = Hata: ampul; diagnostic_gutter_hover = Hata: kenar çubuğu; selection_codelens = Seçim: CodeLens; selection_lightbulb = Seçim: ampul; selection_status_bar = Seçim: durum çubuğu; selection_keybinding = Seçim: kısayol; sidebar_button = Kenar paneli düğmesi; command_palette = Komut paleti; unknown = Kayıtlı değil,diagnostic_codelens = Error: CodeLens; diagnostic_lightbulb = Error: bombilla; diagnostic_gutter_hover = Error: margen; selection_codelens = Selección: CodeLens; selection_lightbulb = Selección: bombilla; selection_status_bar = Selección: barra de estado; selection_keybinding = Selección: atajo; sidebar_button = Botón de la barra lateral; command_palette = Paleta de comandos; unknown = Sin registrar,NULL (empty cell),interactions,trigger_surface,,data/asking/trigger-surface
interactions_question_type,interactions.question_type,Question type,Soru türü,Tipo de pregunta,asking,Asking for help,raw,column,text,what_does_this_mean | what_does_this_do | why_works | whats_wrong | simpler_example | free_text (no database check),what_does_this_mean = What does this mean?; what_does_this_do = What does this do?; why_works = Why does this work?; whats_wrong = What's wrong here?; simpler_example = Simpler example; free_text = Own question,what_does_this_mean = Bu ne anlama geliyor?; what_does_this_do = Bu ne işe yarıyor?; why_works = Bu neden çalışıyor?; whats_wrong = Burada ne yanlış?; simpler_example = Daha basit örnek; free_text = Kendi sorusu,what_does_this_mean = ¿Qué significa esto?; what_does_this_do = ¿Qué hace esto?; why_works = ¿Por qué funciona?; whats_wrong = ¿Qué está mal aquí?; simpler_example = Ejemplo más simple; free_text = Pregunta propia,,interactions,question_type,,data/asking/question-type
interactions_free_text,interactions.free_text,Student's own words,Öğrencinin kendi sözleri,Palabras del estudiante,asking,Asking for help,raw,column,text,"up to 300 characters, or null",,,,NULL (empty cell),interactions,free_text,,data/asking/own-question
interactions_selection_line_count,interactions.selection_line_count,Selected lines,Seçilen satır,Líneas seleccionadas,asking,Asking for help,derived,column,integer,"1 or more, or null",,,,NULL (empty cell),interactions,selection_line_count,1.0,data/asking/selection-size
interactions_selection_char_count,interactions.selection_char_count,Selected characters,Seçilen karakter,Caracteres seleccionados,asking,Asking for help,raw,column,integer,"1 or more, or null",,,,NULL (empty cell),interactions,selection_char_count,,data/asking/selection-size
interactions_error_signature,interactions.error_signature,Error message,Hata mesajı,Mensaje de error,asking,Asking for help,raw,column,text,"first diagnostic message, cut to 500 characters, or null",,,,NULL (empty cell),interactions,error_signature,,data/asking/error-type
interactions_error_signature_normalized,interactions.error_signature_normalized,Normalized error message,Normalleştirilmiş hata mesajı,Mensaje de error normalizado,before,Before asking,derived,column,text,text or null,,,,NULL (empty cell),interactions,error_signature_normalized,1.0,data/before/repeated-error
interactions_error_source,interactions.error_source,Error source (tool),Hata kaynağı (araç),Origen del error (herramienta),asking,Asking for help,raw,column,text,"diagnostic source, e.g. 'Pylance', 'ts', 'eslint', or null",,,,NULL (empty cell),interactions,error_source,,data/asking/error-type
interactions_error_code,interactions.error_code,Error code,Hata kodu,Código de error,asking,Asking for help,raw,column,text,"rule code, e.g. 'reportUndefinedVariable', 'TS2532', or null",,,,NULL (empty cell),interactions,error_code,,data/asking/error-type
interactions_error_severity,interactions.error_severity,Error severity,Hata önem derecesi,Gravedad del error,asking,Asking for help,raw,column,text,"error | warning (information | hint are possible values but never offered), or null",error = Error; warning = Warning; information = Information; hint = Hint,error = Hata; warning = Uyarı; information = Bilgi; hint = İpucu,error = Error; warning = Advertencia; information = Información; hint = Sugerencia,NULL (empty cell),interactions,error_severity,,data/asking/error-type
interactions_file_name,interactions.file_name,File,Dosya,Archivo,asking,Asking for help,raw,column,text,"bare file name, no path",,,,,interactions,file_name,,reference/interactions
interactions_help_latency_ms,interactions.help_latency_ms,Waited after the offer,Tekliften sonra bekleme,Esperó tras la oferta,before,Before asking,derived,column,integer (ms),"0 or more, or null",,,,NULL (empty cell),interactions,help_latency_ms,1.0,data/before/help-latency
interactions_edits_before_ask,interactions.edits_before_ask,Edits before asking,Sormadan önceki düzenlemeler,Ediciones antes de preguntar,before,Before asking,derived,column,integer,"0 or more, or null",,,,NULL (empty cell),interactions,edits_before_ask,1.0,data/before/edits-before-asking
interactions_recurring_error_count,interactions.recurring_error_count,Seen before,Daha önce görüldü,Visto antes,before,Before asking,derived,column,integer,0 or more,,,,,interactions,recurring_error_count,1.0,data/before/repeated-error
interactions_ms_since_previous_same_error,interactions.ms_since_previous_same_error,Time since the same error,Aynı hatadan bu yana geçen süre,Tiempo desde el mismo error,before,Before asking,derived,column,bigint (ms),"0 or more, or null",,,,NULL (empty cell),interactions,ms_since_previous_same_error,1.0,data/before/time-since-same-error
interactions_concept,interactions.concept,Concept,Kavram,Concepto,before,Before asking,raw,column,text,"2-40 characters, written by the model in the feedback language",,,,,interactions,concept,,data/before/recurring-concept
interactions_recurring_concept_count,interactions.recurring_concept_count,Same concept asked before,Aynı kavram daha önce soruldu,Mismo concepto preguntado antes,before,Before asking,derived,column,integer,0 or more,,,,,interactions,recurring_concept_count,1.0,data/before/recurring-concept
interactions_title,interactions.title,Question,Soru,Pregunta,ladder,Hint ladder,raw,column,text,"5-60 characters, written by the model",,,,,interactions,title,,data/ladder/explanation
interactions_ladder_payload,interactions.ladder_payload,The explanation,Açıklama,La explicación,ladder,Hint ladder,raw,column,jsonb,"{title, concept, confidence: high|low, needsMoreContext: bool, l0_decode, l1_locate, l2_concept: {rule, example}, l3_fix: {change, why}}",,,,,interactions,ladder_payload,,data/ladder/explanation
interactions_max_level_reached,interactions.max_level_reached,Went to,İlerleme,Llegó a,ladder,Hint ladder,raw,column,integer,0 | 2 | 3 (check allows 0-3; 1 is never written),0 = Hint only (L0–L1); 1 = Hint only (L0–L1); 2 = Opened rule (L2); 3 = Opened fix (L3),0 = Yalnızca ipucu (L0–L1); 1 = Yalnızca ipucu (L0–L1); 2 = Kuralı açtı (L2); 3 = Çözümü açtı (L3),0 = Solo la pista (L0–L1); 1 = Solo la pista (L0–L1); 2 = Abrió la regla (L2); 3 = Abrió la solución (L3),,interactions,max_level_reached,,data/ladder/hint-depth
interactions_helpful_rating,interactions.helpful_rating,Rating,Değerlendirme,Valoración,self-report,Student self-report,raw,column,smallint,1 | -1 | null,1 = Helpful; -1 = Not helpful,1 = Faydalı; -1 = Faydalı değil,1 = Útil; -1 = No útil,NULL (empty cell),interactions,helpful_rating,,data/self-report/helpful-rating
interactions_self_reported_outcome,interactions.self_reported_outcome,Outcome,Sonuç,Resultado,self-report,Student self-report,raw,column,text,solved | still_stuck | null,solved = Solved; still_stuck = Still stuck,solved = Çözdü; still_stuck = Hâlâ takıldı,solved = Resuelto; still_stuck = Sigue atascado,NULL (empty cell),interactions,self_reported_outcome,,data/self-report/outcome
interactions_post_confidence,interactions.post_confidence,Could do it alone,Tek başına yapabilir,Podría hacerlo solo,self-report,Student self-report,raw,column,text,yes | maybe | no | null,yes = Yes; maybe = Maybe; no = No,yes = Evet; maybe = Belki; no = Hayır,yes = Sí; maybe = Quizá; no = No,NULL (empty cell),interactions,post_confidence,,data/self-report/confidence
interactions_cache_hit,interactions.cache_hit,Answered from cache,Önbellekten yanıtlanan,Respondido desde caché,system,AI service and limits,raw,column,boolean,true | false,,,,,interactions,cache_hit,,data/system/cache
interactions_model_used,interactions.model_used,Provider,Sağlayıcı,Proveedor,system,AI service and limits,raw,column,text,provider id: openai | anthropic | gemini | openai_compatible (not the model name),,,,,interactions,model_used,,data/system/response-time
interactions_prompt_tokens,interactions.prompt_tokens,Prompt tokens,İstem tokenları,Tokens de la instrucción,system,AI service and limits,raw,column,integer,"0 or more, or null",,,,NULL (empty cell),interactions,prompt_tokens,,data/system/tokens
interactions_completion_tokens,interactions.completion_tokens,Completion tokens,Yanıt tokenları,Tokens de la respuesta,system,AI service and limits,raw,column,integer,"0 or more, or null",,,,NULL (empty cell),interactions,completion_tokens,,data/system/tokens
interactions_latency_ms,interactions.latency_ms,AI response time,Yapay zekâ yanıt süresi,Tiempo de respuesta de la IA,system,AI service and limits,derived,column,integer (ms),"0 or more, or null",,,,NULL (empty cell),interactions,latency_ms,1.0,data/system/response-time
events_id,events.id,Event id,Olay kimliği,Id del evento,technical,Technical fields,raw,column,bigserial,generated,,,,,events,id,,reference/events
events_session_id,events.session_id,Session id,Oturum kimliği,Id de la sesión,technical,Technical fields,raw,column,uuid,coding_sessions.id,,,,,events,session_id,,reference/events
events_user_id,events.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,events,user_id,,reference/events
events_interaction_id,events.interaction_id,Question id,Soru kimliği,Id de la pregunta,technical,Technical fields,raw,column,uuid,interactions.id or null,,,,NULL (empty cell),events,interaction_id,,reference/events
events_event_type,events.event_type,Event type,Olay türü,Tipo de evento,technical,Technical fields,raw,column,text,post_feedback_edit | diagnostic_resolved | explanation_visibility | fix_undone | question_picker_abandoned | returned_to_code | feedback_abandoned | request_failed | file_cleared | feedback_language_changed | explanation_reopened | explanation_copied | run_finished | level_reached,level_reached = Opened a hint level; explanation_visibility = Time on screen; returned_to_code = Went back to the code; feedback_abandoned = Left without acting; post_feedback_edit = Edited the code after seeing the fix; fix_undone = Undid the change; explanation_copied = Copied from the explanation; explanation_reopened = Opened again later; diagnostic_resolved = The error went away; file_cleared = Files worked through; run_finished = Runs; question_picker_abandoned = Closed the question picker; request_failed = Failed requests; feedback_language_changed = Feedback language changed,level_reached = Bir ipucu adımını açtı; explanation_visibility = Ekranda kalma süresi; returned_to_code = Koda döndü; feedback_abandoned = Bir şey yapmadan ayrıldı; post_feedback_edit = Çözümü gördükten sonra kodu düzenledi; fix_undone = Değişikliği geri aldı; explanation_copied = Açıklamadan kopyaladı; explanation_reopened = Sonra yeniden açtı; diagnostic_resolved = Hata ortadan kalktı; file_cleared = Hatasız hale getirilen dosyalar; run_finished = Çalıştırma; question_picker_abandoned = Soru seçiciyi kapattı; request_failed = Başarısız istekler; feedback_language_changed = Geri bildirim dili değişti,level_reached = Abrió un nivel de la pista; explanation_visibility = Tiempo en pantalla; returned_to_code = Volvió al código; feedback_abandoned = Se fue sin actuar; post_feedback_edit = Editó el código tras ver la corrección; fix_undone = Deshizo el cambio; explanation_copied = Copió de la explicación; explanation_reopened = La volvió a abrir; diagnostic_resolved = El error desapareció; file_cleared = Archivos que quedaron sin errores; run_finished = Ejecuciones; question_picker_abandoned = Cerró el selector de preguntas; request_failed = Solicitudes fallidas; feedback_language_changed = Cambios de idioma de las explicaciones,,events,event_type,,reference/events
events_client_event_id,events.client_event_id,Duplicate guard key,Tekrar önleme anahtarı,Clave contra duplicados,technical,Technical fields,raw,column,text,<type>:<interactionId>[:<level>] or <type>:<random uuid>,,,,,events,client_event_id,,reference/events
events_payload,events.payload,Event payload,Olay verisi,Datos del evento,technical,Technical fields,raw,column,jsonb,object; fields per event type (see event items),,,,,events,payload,,reference/events
events_client_ts,events.client_ts,"Event time (named ""client"")","Olay zamanı (""client"" adlı)",Hora del evento (llamada «client»),technical,Technical fields,raw,column,timestamptz,timestamp,,,,,events,client_ts,,reference/events
events_server_ts,events.server_ts,Event time,Olay zamanı,Momento del evento,technical,Technical fields,raw,column,timestamptz,timestamp,,,,,events,server_ts,,reference/events
event_level_reached,event.level_reached,Opened a hint level,Bir ipucu adımını açtı,Abrió un nivel de la pista,ladder,Hint ladder,raw,event,event,event_type = 'level_reached',,,,,events,event_type,,data/ladder/level-timing
event_level_reached_level,event.level_reached.level,Level opened,Açılan adım,Nivel abierto,ladder,Hint ladder,raw,payload,integer,2 | 3,2 = After L2; 3 = After L3,2 = L2 sonrasında; 3 = L3 sonrasında,2 = Tras L2; 3 = Tras L3,,events,payload->>'level',,data/ladder/level-timing
event_level_reached_isEscalation,event.level_reached.isEscalation,Raised the hint depth,İlerlemeyi artırdı,Aumentó la profundidad,ladder,Hint ladder,raw,payload,boolean,true | false,,,,,events,payload->>'isEscalation',,data/ladder/level-timing
event_level_reached_msSinceCreated,event.level_reached.msSinceCreated,Time from question to opening,Sorudan açılmaya kadar geçen süre,Tiempo desde la pregunta hasta abrir,ladder,Hint ladder,derived,payload,integer (ms),0 or more,,,,,events,payload->>'msSinceCreated',1.0,data/ladder/level-timing
event_explanation_visibility,event.explanation_visibility,Time on screen,Ekranda kalma süresi,Tiempo en pantalla,reading,Reading and acting on feedback,raw,event,event,event_type = 'explanation_visibility',,,,,events,event_type,,data/reading/time-on-screen
event_explanation_visibility_visibleMs,event.explanation_visibility.visibleMs,Time on screen,Ekranda kalma süresi,Tiempo en pantalla,reading,Reading and acting on feedback,derived,payload,integer (ms),0 or more,,,,,events,payload->>'visibleMs',1.0,data/reading/time-on-screen
event_explanation_visibility_visibleAtDelivery,event.explanation_visibility.visibleAtDelivery,On screen when it arrived,Geldiğinde ekrandaydı,En pantalla al llegar,reading,Reading and acting on feedback,raw,payload,boolean,true | false,,,,,events,payload->>'visibleAtDelivery',,data/reading/time-on-screen
event_returned_to_code,event.returned_to_code,Went back to the code,Koda döndü,Volvió al código,reading,Reading and acting on feedback,raw,event,event,event_type = 'returned_to_code',,,,,events,event_type,,data/reading/back-to-code
event_returned_to_code_level,event.returned_to_code.level,Level shown last,Son gösterilen adım,Último nivel mostrado,reading,Reading and acting on feedback,raw,payload,integer,1 | 2 | 3,1 = After L0–L1; 2 = After L2; 3 = After L3,1 = L0–L1 sonrasında; 2 = L2 sonrasında; 3 = L3 sonrasında,1 = Tras L0–L1; 2 = Tras L2; 3 = Tras L3,,events,payload->>'level',,data/reading/back-to-code
event_returned_to_code_msToReturn,event.returned_to_code.msToReturn,Back to the code after,Koda dönüş süresi,Volvió al código tras,reading,Reading and acting on feedback,derived,payload,integer (ms),0 to 600000,,,,,events,payload->>'msToReturn',1.0,data/reading/back-to-code
event_feedback_abandoned,event.feedback_abandoned,Left without acting,Bir şey yapmadan ayrıldı,Se fue sin actuar,reading,Reading and acting on feedback,raw,event,event,event_type = 'feedback_abandoned',,,,,events,event_type,,data/reading/left-without-acting
event_feedback_abandoned_level,event.feedback_abandoned.level,Level shown last,Son gösterilen adım,Último nivel mostrado,reading,Reading and acting on feedback,raw,payload,integer,1 | 2 | 3,1 = After L0–L1; 2 = After L2; 3 = After L3,1 = L0–L1 sonrasında; 2 = L2 sonrasında; 3 = L3 sonrasında,1 = Tras L0–L1; 2 = Tras L2; 3 = Tras L3,,events,payload->>'level',,data/reading/left-without-acting
event_feedback_abandoned_reason,event.feedback_abandoned.reason,Reason,Neden,Motivo,reading,Reading and acting on feedback,raw,payload,text,timeout | session_end,timeout = no activity; session_end = VS Code closed,timeout = hareketsizlik; session_end = VS Code kapandı,timeout = sin actividad; session_end = VS Code se cerró,,events,payload->>'reason',,data/reading/left-without-acting
event_post_feedback_edit,event.post_feedback_edit,Edited the code after seeing the fix,Çözümü gördükten sonra kodu düzenledi,Editó el código tras ver la corrección,reading,Reading and acting on feedback,raw,event,event,event_type = 'post_feedback_edit',,,,,events,event_type,,data/reading/edit-after-fix
event_post_feedback_edit_overlapRatio,event.post_feedback_edit.overlapRatio,Similar to the suggested fix,Önerilen düzeltmeye benzerlik,Parecido a la corrección sugerida,reading,Reading and acting on feedback,derived,payload,number,0 to 1,,,,,events,payload->>'overlapRatio',1.0,data/reading/edit-after-fix
event_post_feedback_edit_editedLineDistance,event.post_feedback_edit.editedLineDistance,Lines from the pointed line,Gösterilen satıra uzaklık,Distancia a la línea señalada,reading,Reading and acting on feedback,derived,payload,integer,0 or more,,,,,events,payload->>'editedLineDistance',1.0,data/reading/edit-after-fix
event_fix_undone,event.fix_undone,Undid the change,Değişikliği geri aldı,Deshizo el cambio,reading,Reading and acting on feedback,raw,event,event,event_type = 'fix_undone',,,,,events,event_type,,data/reading/fix-undone
